,X,Y,Stock,X1,Y1,category
2918,-0.00133942,15.55854921,SHSP,-0.000585996,15.13092987,
2919,-0.00133942,15.55854921,SHW,-0.000544139,15.10717324,
2920,-0.001297563,15.53479258,SIBN,-0.000544139,15.10717324,
2921,-0.001297563,15.53479258,SIEN,-0.000544139,15.10717324,
2922,-0.001297563,15.53479258,SIF,-0.000544139,15.10717324,
2923,-0.001297563,15.53479258,SIG,-0.000544139,15.10717324,
2924,-0.001297563,15.53479258,SIGA,-0.000544139,15.10717324,
2925,-0.001297563,15.53479258,SIGI,-0.000544139,15.10717324,
2926,-0.001297563,15.53479258,SILV,-0.000502282,15.08341661,
2927,-0.001255706,15.51103595,SINA,-0.000502282,15.08341661,
2928,-0.001213849,15.48727932,SINO,-0.000502282,15.08341661,
2929,-0.001213849,15.48727932,SINT,-0.000460426,15.05965998,
2930,-0.001213849,15.48727932,SITE,-0.000460426,15.05965998,
2931,-0.001213849,15.48727932,SIVB,-0.000460426,15.05965998,
2932,-0.001171992,15.46352269,SIX,-0.000460426,15.05965998,
2933,-0.001171992,15.46352269,SJI,-0.000418569,15.03463254,
2934,-0.001171992,15.46352269,SJM,-0.000418569,15.03463254,
2935,-0.001171992,15.46352269,SJR,-0.000418569,15.03463254,
2936,-0.001171992,15.46352269,SJW,-0.000418569,15.03463254,
2937,-0.001130136,15.43976606,SKX,-0.000418569,15.03463254,
2938,-0.001130136,15.43976606,SKY,-0.000418569,15.03463254,
2939,-0.001130136,15.43976606,SKYW,-0.000418569,15.03463254,
2940,-0.001130136,15.43976606,SLAB,-0.000418569,15.03463254,
2941,-0.001130136,15.43976606,SLB,-0.000418569,15.03463254,
2942,-0.001130136,15.43976606,SLCA,-0.000418569,15.03463254,
2943,-0.001088279,15.41600943,SLCT,-0.000376712,15.00880538,
2944,-0.001088279,15.41600943,SLDB,-0.000376712,15.00880538,
2945,-0.001088279,15.41600943,SLF,-0.000376712,15.00880538,
2946,-0.001088279,15.41600943,SLG,-0.000376712,15.00880538,
2947,-0.001088279,15.41600943,SLGL,-0.000376712,15.00880538,
2948,-0.001088279,15.41600943,SLGN,-0.000334855,14.98297822,
2949,-0.001088279,15.41600943,SLM,-0.000334855,14.98297822,
2950,-0.001088279,15.41600943,SLNO,-0.000334855,14.98297822,
2951,-0.001088279,15.41600943,SLP,-0.000334855,14.98297822,
2952,-0.001088279,15.41600943,SLRC,-0.000334855,14.98297822,
2953,-0.001046422,15.3922528,SLRX,-0.000334855,14.98297822,
2954,-0.001046422,15.3922528,SLS,-0.000334855,14.98297822,
2955,-0.001046422,15.3922528,SM,-0.000334855,14.98297822,
2956,-0.001046422,15.3922528,SMAR,-0.000334855,14.98297822,
2957,-0.001046422,15.3922528,SMBC,-0.000334855,14.98297822,
2958,-0.001046422,15.3922528,SMBK,-0.000292998,14.95715105,
2959,-0.001046422,15.3922528,SMCI,-0.000292998,14.95715105,
2960,-0.001004565,15.36849617,SMED,-0.000251141,14.93132389,
2961,-0.001004565,15.36849617,SMG,-0.000251141,14.93132389,
2962,-0.001004565,15.36849617,SMHI,-0.000251141,14.93132389,
2963,-0.001004565,15.36849617,SMIT,-0.000251141,14.93132389,
2964,-0.001004565,15.36849617,SMMF,-0.000251141,14.93132389,
2965,-0.001004565,15.36849617,SMP,-0.000209284,14.90549673,
2966,-0.001004565,15.36849617,SMPL,-0.000209284,14.90549673,
2967,-0.000962708,15.34473954,SMRT,-0.000209284,14.90549673,
2968,-0.000962708,15.34473954,SMSI,-0.000209284,14.90549673,
2969,-0.000962708,15.34473954,SMTC,-0.000167427,14.87966957,
2970,-0.000920851,15.32098291,SMTS,-0.000167427,14.87966957,
2971,-0.000920851,15.32098291,SMTX,-0.000167427,14.87966957,
2972,-0.000920851,15.32098291,SNA,-0.000125571,14.85384241,
2973,-0.000920851,15.32098291,SNAP,-0.000125571,14.85384241,
2974,-0.000920851,15.32098291,SNBR,-0.000125571,14.85384241,
2975,-0.000878994,15.29722628,SNCR,-0.000125571,14.85384241,
2976,-0.000878994,15.29722628,SND,-0.000125571,14.85384241,
2977,-0.000878994,15.29722628,SNDE,-0.000125571,14.85384241,
2978,-0.000878994,15.29722628,SNDR,-0.000125571,14.85384241,
2979,-0.000878994,15.29722628,SNDX,-0.000125571,14.85384241,
2980,-0.000837137,15.27346965,SNES,-0.000125571,14.85384241,
2981,-0.000837137,15.27346965,SNFCA,-0.000125571,14.85384241,
2982,-0.000837137,15.27346965,SNGX,-0.000125571,14.85384241,
2983,-0.000837137,15.27346965,SNOA,-8.37E-05,14.82801524,
2984,-0.000795281,15.24971302,SNPS,-8.37E-05,14.82801524,
2985,-0.000795281,15.24971302,SNR,-8.37E-05,14.82801524,
2986,-0.000795281,15.24971302,SNSS,-8.37E-05,14.82801524,
2987,-0.000795281,15.24971302,SNX,-8.37E-05,14.82801524,
2988,-0.000753424,15.22595639,SO,-4.19E-05,14.80218808,
2989,-0.000753424,15.22595639,SOHO,-4.19E-05,14.80218808,
2990,-0.000753424,15.22595639,SOI,-4.19E-05,14.80218808,
2991,-0.000753424,15.22595639,SON,-4.19E-05,14.80218808,
2992,-0.000711567,15.20219976,SONA,-4.19E-05,14.80218808,
2993,-0.000711567,15.20219976,SONG,-4.19E-05,14.80218808,
2994,-0.000711567,15.20219976,SORL,-4.19E-05,14.80218808,
2995,-0.00066971,15.17844313,SP,-4.19E-05,14.80218808,
2996,-0.00066971,15.17844313,SPAR,-4.19E-05,14.80218808,
2997,-0.00066971,15.17844313,SPB,-4.19E-05,14.80218808,
2998,-0.000627853,15.1546865,SPCB,-4.19E-05,14.80218808,
2999,-0.000627853,15.1546865,SPCE,0,14.77636092,
3000,-0.000627853,15.1546865,SPGI,0,14.77636092,
3001,-0.000627853,15.1546865,SPI,0,14.77636092,
3002,-0.000627853,15.1546865,SPKE,0,14.77636092,
3003,-0.000627853,15.1546865,SPLK,0,14.77636092,
3004,-0.000627853,15.1546865,SPN,4.19E-05,14.75053376,
3005,-0.000627853,15.1546865,SPNE,4.19E-05,14.75053376,
3006,-0.000585996,15.13092987,SPNS,8.37E-05,14.72470659,
3007,-0.000585996,15.13092987,SPOK,0.000334855,14.56974362,
3008,-0.000585996,15.13092987,SPOT,0.000502282,14.46643497,
3009,-0.000585996,15.13092987,SPR,0.000627853,14.38895349,
3010,-0.000544139,15.10717324,SPRO,0.000711567,14.33729916,
3011,-0.000544139,15.10717324,SPRT,0.000753424,14.311472,
3012,-0.000544139,15.10717324,SPTN,0.001004565,14.15650903,
3013,-0.000544139,15.10717324,SPWH,0.001004565,14.15650903,
3014,-0.000544139,15.10717324,SPWR,0.001088279,14.1048547,
3015,-0.000544139,15.10717324,SPXC,0.001088279,14.1048547,
3016,-0.000544139,15.10717324,SPY,0.001130136,14.07902754,
3017,-0.000502282,15.08341661,SQ,0.001171992,14.05320038,
3018,-0.000502282,15.08341661,SQBG,0.001297563,13.97571889,
3019,-0.000502282,15.08341661,SR,0.00133942,13.94989173,
3020,-0.000460426,15.05965998,SRAX,0.001423134,13.89823741,
3021,-0.000460426,15.05965998,SRC,0.001506847,13.84658308,
3022,-0.000460426,15.05965998,SRCE,0.001590561,13.79492876,
3023,-0.000460426,15.05965998,SRCL,0.001590561,13.79492876,
3024,-0.000444259,15.05048418,SRDX,0.001632418,13.7691016,
3025,-0.000418569,15.03463254,SRE,0.001716132,13.71744727,
3026,-0.000418569,15.03463254,SREV,0.001799845,13.66579295,
3027,-0.000418569,15.03463254,SRG,0.001841702,13.63996579,
3028,-0.000418569,15.03463254,SRI,0.001967273,13.5624843,
3029,-0.000418569,15.03463254,SRL,0.002092844,13.48500281,
3030,-0.000418569,15.03463254,SRNE,0.0021347,13.45917565,
3031,-0.000418569,15.03463254,SRPT,0.0021347,13.45917565,
3032,-0.000418569,15.03463254,SRRA,0.002218414,13.40589282,
3033,-0.000418569,15.03463254,SRRK,0.002343985,13.32562903,
3034,-0.000418569,15.03463254,SRT,0.002553269,13.19185604,
3035,-0.000376712,15.00880538,SRTS,0.00267884,13.11159225,
3036,-0.000376712,15.00880538,SSB,0.002846267,13.00457386,
3037,-0.000376712,15.00880538,SSBI,0.003097408,12.84404628,
3038,-0.000376712,15.00880538,SSD,0.003222979,12.76378248,
3039,-0.000376712,15.00880538,SSI,0.003306693,12.71027329,
3040,-0.000334855,14.98297822,SSKN,0.00347412,12.6032549,
3041,-0.000334855,14.98297822,SSNC,0.003515977,12.5765003,
3042,-0.000334855,14.98297822,SSNT,0.003599691,12.52299111,
3043,-0.000334855,14.98297822,SSP,0.003767118,12.41597272,
3044,-0.000334855,14.98297822,SSRM,0.003850832,12.36246352,
3045,-0.000334855,14.98297822,SSSS,0.003934546,12.30895433,
3046,-0.000334855,14.98297822,SSTI,0.00401826,12.25544513,
3047,-0.000334855,14.98297822,SSTK,0.004101973,12.20193594,
3048,-0.000334855,14.98297822,SSY,0.004185687,12.14842674,
3049,-0.000334855,14.98297822,SSYS,0.004227544,12.12167214,
